GATE_BL_GW: 2569.112><98.97736><1882.812><161.4328><1><><48><35
GATE_LF_BL: -2716.317><318.8453><-1899.229><330.5807><2><><48><35
BL_A13: 2417.112><95.97736><1740.812><156.4328><1><><48><35
BL_A03: 1473.111><106.9773><999.8129><159.4328><1><Badlands><48><35
BL_A02: 1423.111><211.9774><933.817><301.4328><2><Badlands><48><35
BL_A08: 1386.111><79.97768><898.8171><-6.56654><2><Badlands><48><35
BL_B09: 1311.871><-54.77614><796.7252><-151.0671><2><Badlands><100><35
BL_A01: 1338.111><-202.0226><906.8171><-304.5672><2><Badlands><48><35
BL_A07: 1121.115><-205.0226><719.8148><-303.5672><2><Badlands><48><35
BL_S01: 1092.113><-103.0223><657.8148><-156.5661><2><><48><35
BL_B02: 1080.015><-468.8217><696.5151><-525.1671><2><Badlands><48><78
BL_C01: 1173.013><125.1774><603.5151><167.8329><1><Badlands><152><35
BL_A11: 873.5134><125.7614><442.7647><218.3329><1><Badlands><48><35
BL_S02: -2597.297><316.8863><-1742.219><469.2508><1><><48><35
BL_A14: -2494.297><318.8852><-1738.219><334.2508><2><><48><35
BL_C02: -2264.487><186.7594><-1580.239><165.3329><2><><70><112
BL_E04: -1742.379><62.45389><-1389.54><161.0489><2><Badlands><256><35
BL_A06: -1377.298><-55.11404><-1079.219><31.25007><2><Badlands><48><35
BL_A12: -1176.298><-57.11413><-915.2192><30.25007><2><Badlands><48><35
BL_B04: -921.2979><19.88616><-739.2192><61.25009><2><Badlands><56><78
BL_A10: -765.2975><79.88586><-570.2192><163.2498><2><Badlands><48><35
BL_C03: -615.7654><-44.10803><-425.4553><-61.37294><2><Badlands><52><112
BL_B05: -765.3124><-214.1535><-572.2288><-182.4182><2><Badlands><48><74
BL_A04: -1148.307><116.8463><-1073.229><311.5807><1><Badlands><166><35
BL_B06: -543.3124><-341.1537><-460.2273><-366.4193><2><Badlands><100><35
BL_C04: 646.3314><-37.86793><257.2366><58.18886><2><Badlands><152><35
BL_F02: 356.2965><181.0624><-94.5225><214.0168><1><Badlands><150><74
BL_A05: 356.2965><352.0623><9.4775><430.0167><1><Badlands><48><35
BL_E02: 1945.721><118.0224><1159.75><160.6749><1><Badlands><256><35
BL_E03: -128.0587><-33.20542><-280.2773><71.85712><2><Badlands><256><37
BL_A09: 96.29652><55.06328><-197.9072><167.3049><0><Badlands><48><35
BL_C05: 695.2343><111.6883><289.7265><215.8609><1><Badlands><48><112
BL_B03: 695.2343><-173.3116><558.0931><-386.6953><1><Badlands><48><78
BL_A15: 875.5886><230.2175><441.5508><385.2428><1><Badlands><48><35
BL_B07: 782.4447><335.2173><334.7225><545.2427><1><Badlands><100><35
BL_D02: -38.71858><179.4064><-323.1693><245.6749><1><Badlands><98><74
BL_A16: -765.7173><-38.59313><-572.1688><22.67487><2><Badlands><48><35
BL_C06: -305.3555><-387.2777><-222.6714><-525.5253><2><Badlands><56><112
BL_D04: -569.8566><125.4194><-862.7327><313.1228><1><Badlands><256><35
BL_S03: -591.3124><-448.1547><-430.2273><-214.4182><2><><48><35
BL_S04: 705.4437><310.2183><340.7225><702.2427><2><><48><35
BL_B08: 819.1434><-520.5806><458.2668><-530.8773><2><Badlands><100><35
BL_C07: 1723.72><-574.4863><341.382><-720.7387><2><><48><112
BL_D03: 119.1623><-524.9786><-83.71951><-527.8131><2><Badlands><202><35
BL_C08: -365.3378><-84.75021><-278.4473><-218.1541><1><Badlands><48><112
BL_C09: 218.6625><-107.9501><-115.5139><-219.1541><1><Badlands><48><112
BL_D05: 353.8364><130.1074><52.0929><-224.6951><0><Badlands><48><150
BL_F03: 395.8366><-164.8925><232.0927><-378.6953><0><Badlands><150><75
BL_FG1: 19.83662><-104.8928><16.09287><-304.6953><0><Badlands><100><35
BL_FG2: -204.1654><-68.89291><-105.9073><-292.6953><0><Badlands><48><35
BL_C07_SAINT: 552.8408><-639.7328><2792.668><-2.627623><1><><48><112
BL_TM02: -1705.953><102.8008><0.0001634501><6.5949E-05><0><><195><37
BL_TM03: -1917.953><-17.19925><0.0001634501><6.5949E-05><0><><48><37
BL_TM01: -2212.953><21.80075><0.0001634501><6.5949E-05><0><><143><67
BL_TM04: -2507.953><-47.19925><0.0001634501><6.5949E-05><0><><48><37
GATE_BL_TM: -2657.953><-47.19925><0.0001634501><6.5949E-05><0><><48><35
OffScreenDen_BL: 1400.111><57.97748><-812.1852><-150.5661><1><Badlands><0><0
Connection: GATE_BL_GW,BL_A13,2,11,46,11,2,0
Connection: GATE_LF_BL,BL_A14,45,11,2,11,0,2
Connection: BL_A13,BL_E02,3,16,251,10,2,0
Connection: BL_A03,BL_A02,23,32,40,3,1,3
Connection: BL_A03,BL_C01,1,13,145,7,2,0
Connection: BL_A03,BL_E02,46,13,5,9,0,2
Connection: BL_A02,BL_A08,9,16,22,32,3,1
Connection: BL_A08,BL_B09,22,3,73,32,3,1
Connection: BL_B09,BL_A07,7,10,42,33,2,1
Connection: BL_B09,BL_A01,89,6,32,33,0,1
Connection: BL_A01,BL_A07,5,12,42,14,2,3
Connection: BL_A07,BL_S01,5,33,14,19,1,2
Connection: BL_A07,BL_B02,9,3,23,74,3,1
Connection: BL_B02,BL_B08,11,37,96,30,2,0
Connection: BL_C01,BL_A11,6,11,42,10,2,0
Connection: BL_A11,BL_A15,6,31,6,5,1,3
Connection: BL_A11,BL_C04,19,4,145,32,0,1
Connection: BL_S02,BL_A14,22,18,4,31,1,2
Connection: BL_A14,BL_C02,45,11,3,96,0,2
Connection: BL_C02,BL_E04,41,10,10,9,3,3
Connection: BL_E04,BL_B04,250,17,4,56,0,2
Connection: BL_E04,BL_A06,197,5,9,32,3,1
Connection: BL_A06,BL_A12,44,9,2,9,0,2
Connection: BL_A12,BL_A04,9,32,98,16,1,3
Connection: BL_A12,BL_B04,45,14,5,12,0,2
Connection: BL_B04,BL_A10,51,56,1,16,0,2
Connection: BL_B04,BL_A16,50,18,4,19,0,2
Connection: BL_A10,BL_C03,45,16,4,98,0,2
Connection: BL_C03,BL_A16,5,57,43,19,2,0
Connection: BL_C03,BL_E03,46,53,3,13,0,2
Connection: BL_C03,BL_B05,5,19,43,57,2,0
Connection: BL_B05,BL_B06,43,7,4,30,0,2
Connection: BL_A04,BL_TM02,37,14,168,20,3,3
Connection: BL_A04,BL_D04,132,22,31,19,3,3
Connection: BL_B06,BL_C06,95,30,5,82,0,2
Connection: BL_B06,BL_S03,42,26,32,18,3,1
Connection: BL_C04,BL_E03,4,17,252,17,2,0
Connection: BL_F02,BL_A05,70,69,19,4,1,0
Connection: BL_F02,BL_D02,3,53,91,44,2,0
Connection: BL_F02,BL_C05,145,9,3,49,0,2
