UG_A16: -67.89831><-50.40633><-210.1427><123.2692><1><Undergrowth><48><35
UG_DP2: 256.6205><-33.68967><-1.663997E-05><-1.683728E-05><2><><162><35
UG_DP1: 581.6206><26.31034><-1.663997E-05><-1.683728E-05><0><><60><73
GATE_DS_DP: 743.6206><91.31033><-1.663997E-05><-1.683728E-05><1><><48><35
GATE_DS_SB: -1171.316><-378.1338><-766.2416><-484.0622><2><><48><35
GATE_SU_DS: -1148.316><145.4814><-1104.523><382.8351><1><><48><35
GATE_DS_GW: 1452.684><-106.1339><1328.758><-224.0625><2><><48><35
GATE_DS_CC: 551.4564><762.6121><618.4733><647.7952><0><><48><35
UG_S03: -1097.983><-459.654><-642.8456><-623.2619><2><><48><35
UG_B02: -926.8979><51.59369><-1041.144><224.2695><1><><100><35
UG_A22: -698.8979><48.59372><-813.1431><224.2695><1><><48><35
UG_A06: -540.8973><47.59372><-682.1426><223.2695><1><Undergrowth><54><35
UG_A02: -371.8981><48.59372><-528.1434><218.2693><1><Undergrowth><54><35
UG_A20: -304.8985><-43.40633><-478.1435><99.26901><1><Undergrowth><48><35
UG_S01r: -403.1486><-42.81673><-588.2416><99.64475><1><><48><35
UG_B03: -206.8988><-15.40631><-364.1434><133.2692><1><Undergrowth><54><78
UG_A09: -364.8981><151.5935><-522.1434><372.2693><2><Undergrowth><54><38
UG_A19: -296.8981><258.5936><-373.1436><357.2696><2><Undergrowth><54><35
UG_B04: -96.89856><153.5939><-183.1427><360.2693><2><Undergrowth><110><35
UG_A08: 126.1014><151.5939><92.8569><359.2693><2><Undergrowth><54><37
UG_S04: 227.1515><52.5965><99.76283><234.8069><2><><48><35
UG_B07: 358.1019><154.5939><276.8566><358.2696><2><Undergrowth><110><38
UG_A07: 228.1014><-53.40626><-76.14314><89.26927><1><Undergrowth><147><38
UG_A24: 442.1015><54.59372><251.8566><63.26913><1><Undergrowth><48><35
UG_A11: 586.1027><59.59364><370.8565><59.26913><1><Undergrowth><54><35
UG_C04: 585.1021><31.59369><614.8569><-57.73108><2><Undergrowth><48><120
UG_A25: 367.1021><-139.4064><375.8566><-153.7307><0><Undergrowth><54><74
UG_B08: 436.102><-132.4064><499.8566><-40.73119><2><Undergrowth><48><78
UG_C01: 713.1021><-89.40616><740.8569><-387.7307><2><Undergrowth><54><121
UG_S02l: 809.8516><-121.8168><931.7584><-208.3552><2><><48><35
UG_A21: 903.101><16.59378><926.8574><-53.73107><1><><54><35
UG_C03: 1009.101><-216.4065><895.8574><-357.7307><2><><152><35
UG_B10: 1224.975><-123.4041><1087.254><-236.0382><2><><104><35
UG_D01: 300.1019><-299.6695><314.409><-344.2307><0><Undergrowth><202><35
UG_A05: -161.8982><-245.4065><-181.1431><-284.7307><0><Undergrowth><102><72
UG_D03: -474.8981><-303.4062><-834.1434><-204.7305><0><Undergrowth><202><122
UG_C02: -859.8979><-61.4062><-970.1431><-62.73071><0><Undergrowth><54><121
UG_D02: -1007.895><-398.4064><-642.1434><-496.7306><2><><48><35
UG_DARK01: -712.5995><-458.1754><-532.7836><-502.4856><2><><151><35
UG_DARK02: -337.8336><-433.8776><-209.7836><-488.3792><2><><48><35
UG_DARK03: -61.58353><-413.6694><-77.38779><-441.7959><2><><48><35
UG_A26: -705.8979><-52.4062><-827.1431><96.26922><0><Undergrowth><48><35
UG_B06: -493.8979><-116.4064><-408.143><-111.7306><0><Undergrowth><94><78
UG_TOLL: -107.2857><-72.54984><-189.8123><-65.87337><0><Undergrowth><148><35
UG_Filters: 200.6492><-86.18026><183.1877><-104.895><0><Undergrowth><54><35
UG_GUTTER01: 632.6906><-181.6433><504.4303><-198.8642><0><Undergrowth><101><42
UG_GUTTER02: 752.5192><128.2372><745.2233><-52.91334><0><><48><112
UG_GUTTER03: 715.0092><492.6863><624.9169><367.7808><0><><151><112
UG_GUTTER04: 597.049><306.4063><620.7371><240.5809><1><><101><35
UG_GUTTER05: 886.7924><233.0187><933.1373><148.7708><1><><48><78
UG_RIVSTART: 178.695><246.2687><253.5798><188.4633><1><><151><57
UG_BYEXTRA: -568.3794><149.3103><-1.663997E-05><-1.683728E-05><1><><99><35
UG_BY01: -440.3795><260.3103><-1.663997E-05><-1.683728E-05><1><><62><39
UG_BY02: -589.3794><293.3103><-1.663997E-05><-1.683728E-05><1><><48><35
GATE_BY_DS: -640.3794><399.3103><-1.663997E-05><-1.683728E-05><1><><48><35
UG_4B: -223.3795><68.31036><-1.663997E-05><-1.683728E-05><0><><52><34
GATE_4B_DS: -364.3795><84.31036><-1.663997E-05><-1.683728E-05><0><><48><35
