GATE_SB_SL: -2089.835><-286.7726><-1967.126><-784.322><0><><48><35
GATE_GW_SL: -2922.444><198.9149><-2244.577><200.252><1><><48><35
SL_A08: -2832.292><86.97857><-2184.516><70.77606><1><><54><35
SL_S07: -3005.333><86.97803><-2233.273><-62.92116><1><><48><35
SL_C12: -2497.841><80.44976><-2073.484><66.60161><1><><152><35
SL_A14: -72.41575><-25.76522><27.4168><720.941><2><Shoreline><48><35
SL_E03: 491.5507><-25.28844><41.70169><-156.6559><2><Shoreline><258><35
SL_A02: -258.2924><86.97858><-175.5184><867.777><2><Shoreline><48><35
SL_A17: -261.2525><-26.34204><-175.0117><721.2372><2><Shoreline><48><35
SL_C01: -442.2917><69.97855><-384.5185><769.777><2><Shoreline><48><121
SL_A13: -386.5437><-147.0213><-468.1461><-58.52096><1><Shoreline><48><35
SL_B01: -643.2906><167.9787><-588.5173><816.777><2><Shoreline><48><121
SL_F01: -1915.292><18.97896><-1755.518><-15.22415><1><Shoreline><210><78
SL_C02: -1468.292><82.97861><-1352.518><490.7764><0><Shoreline><180><35
SL_C10: -1372.291><-310.0206><-1226.518><-293.2236><2><Shoreline><54><121
SL_A10: -1067.292><-407.0217><-1092.518><-269.224><2><Shoreline><48><35
SL_F02: -890.292><16.97853><-941.5179><416.776><0><Shoreline><162><78
SL_S05: -895.214><51.6263><-830.8987><272.1897><0><><48><35
SL_D06: -1104.292><81.97863><-1129.518><877.777><2><Shoreline><213><35
SL_D04: -470.2919><19.97877><-579.5173><420.776><0><Shoreline><104><78
SL_A12: -487.0693><-148.0213><-586.9623><-56.86317><1><Shoreline><48><35
SL_H03: 1304.709><80.9786><388.4808><-26.22405><0><Shoreline><444><38
SL_C09: 2202.71><83.97858><1329.482><-17.22416><0><Looks to the Moon><155><35
SL_A16: 2362.469><198.1071><1539.847><63.8432><0><Looks to the Moon><48><35
SL_S10: 2247.204><197.5883><1423.129><61.6225><0><><48><35
SL_I01: 2676.708><178.9789><1661.486><-38.2241><0><Looks to the Moon><152><121
SL_A15: 2980.097><185.6683><2001.624><48.56474><0><><48><35
SL_S06: 2977.159><291.4503><1999.514><161.6019><0><><48><35
SL_AI: 3206.232><105.0456><2119.47><-3.413083><0><Looks to the Moon><98><35
SL_C08: -1665.292><-304.0206><-1446.518><-481.2238><1><Shoreline><48><121
SL_C05: -1335.292><-405.0217><-1293.518><-462.2238><1><Shoreline><162><35
SL_S09: -1053.117><-405.0049><-1051.674><-372.8976><1><><48><35
SL_C04: -925.2921><-297.0215><-936.5179><-476.2238><1><Shoreline><54><121
SL_D01: -816.2917><14.97857><-907.5179><32.77575><1><Shoreline><104><78
SL_D02: -719.2917><-351.0206><-778.5179><-557.2241><1><Shoreline><54><154
SL_D03: -462.2919><-451.0215><-565.5173><-533.2241><1><Shoreline><105><78
SL_A07: -299.2918><-338.0217><-316.5185><-450.2238><1><Shoreline><48><35
SL_A04: -423.2918><-265.0215><-473.5171><-326.224><1><Shoreline><48><35
SL_S03: -483.2164><-188.3734><-584.8987><-325.8102><2><><48><35
SL_E01: -162.2927><-274.0206><-208.5177><-538.2241><1><Shoreline><48><207
SL_B04: -158.2927><318.9783><-117.5178><-51.22415><0><Shoreline><48><121
SL_C03: -157.6426><-44.54664><-299.5185><-48.22401><0><Shoreline><66><121
SL_A11: -286.0706><-179.021><-329.9632><-191.8628><1><Shoreline><48><35
SL_A05: 6.707747><-368.0217><-85.5179><-431.224><1><Shoreline><48><35
SL_E02: 526.7057><-387.0217><60.48138><-432.224><1><Shoreline><258><35
SL_S08: 827.7951><-276.1299><471.6647><-306.6656><1><><48><35
SL_C07: 1058.709><-291.0215><638.481><-471.2238><1><><48><121
SL_A03: -723.2917><-389.0217><-926.5179><-934.2227><0><Shoreline><48><35
SL_S04: -1019.216><-320.3732><-1160.899><-814.8101><0><><48><35
SL_A06: -1375.291><-394.0217><-1441.518><-923.2227><0><Shoreline><48><35
SL_D05: -1759.292><-396.0217><-1903.518><-918.2227><0><Shoreline><204><35
SL_S11: 630.255><-139.7912><341.0938><-292.8085><2><><48><35
GATE_SL_MS: 3965.983><1034.19><2697.335><774.8362><0><><48><35
GATE_MS_SL: 2443.399><-919.3331><1575.603><-827.934><0><><48><35
GATE_SL_CL: 1646.027><460.1765><1423.139><1124.385><2><><48><35
GATE_SL_VS: -1665.186><-508.84><-1441.263><-618.9896><1><><48><35
SL_C06SAINT: -1052.294><-391.0217><-1297.518><-926.2227><0><Shoreline><162><35
SL_C14: 1278.882><-503.119><799.8665><-587.2664><1><><48><112
SL_C15: 1618.104><-718.6857><944.5397><-732.3256><0><><104><112
SL_WALL02: 1701.104><-985.2324><951.8497><-877.2526><0><><151><42
SL_WALL05: 2148.7><-940.3057><1266.732><-850.963><0><><146><45
SL_S15: 2443.357><-1032.701><1576.209><-949.2421><0><><48><35
SL_ECNIUS01: -800.6106><-257.0549><-892.2792><-165.9309><2><Shoreline><101><72
SL_ECNIUS02: -161.855><-294.9061><-328.6984><-325.0932><2><Shoreline><48><35
SL_ECNIUS03: -444.0948><-303.5461><-586.4299><-189.5864><2><Shoreline><101><35
SL_ROOF04: 3287.344><619.7056><2123.116><364.075><1><Looks to the Moon><48><149
SL_MOONTOP: 3285.896><282.2908><2184.368><128.7598><1><Looks to the Moon><62><81
SL_ACCSHAFT: 3511.656><891.4797><2235.11><616.6899><1><Looks to the Moon><201><35
SL_ROOF03: 3567.26><1053.412><2240.649><743.743><0><Looks to the Moon><216><78
SL_TEMPLE: 3056.448><1056.986><1996.978><747.7419><0><Looks to the Moon><107><78
SL_STOP: 2939.639><903.6528><2002.774><614.5497><0><><48><35
SL_ROOF01: 2446.386><1005.855><1366.938><753.4228><0><Looks to the Moon><306><35
SL_WALL06: 1924.746><1014.218><1246.103><727.5624><0><Looks to the Moon><48><62
SL_C16: 1334.208><427.7065><1104.139><1121.796><2><><152><35
SL_I02: 858.7901><376.5876><776.6627><1048.294><2><><154><70
SL_SCRUSHED: 914.6765><218.3298><906.7742><913.732><2><><48><35
SL_B10: 551.1312><266.364><662.5684><972.9078><2><><48><72
SL_B11: 349.3524><179.8642><452.0916><953.6404><2><><96><35
SL_B02SAINT: 144.7081><84.97854><-19.5195><866.7771><2><><209><37
GATE_OA_SL: 234.5939><562.5231><-4.923844E-05><-1.884909E-05><1><><48><35
SL_modded1: 326.594><611.5231><-4.923844E-05><-1.884909E-05><1><><70><40
SL_modded2: 276.594><581.5231><-4.923844E-05><-1.884909E-05><1><><172><40
SL_moddedsaint: -937.4061><-93.47686><-4.923844E-05><-1.884909E-05><2><><48><35
SL_H02: 345.7079><18.97884><-245.5181><436.776><0><Shoreline><210><78
SL_TUNNELA: -1222.186><-517.84><-1307.263><-623.9896><1><Shoreline><248><35
SH_A20: -1253.406><-536.1207><-0.002069236><-0.001930709><2><><48><35
GATE_RW_SL: -1110.406><-548.1207><-0.002069236><-0.001930709><2><><48><35
GATE_UB_SL: -162.406><-526.1207><-0.002069236><-0.001930709><2><><48><35
GATE_AB_SL: -1981.406><112.8792><-0.002069236><-0.001930709><2><><48><35
GATE_SL_AB: -1752.406><-620.1207><-0.002069236><-0.001930709><2><><48><35
SL_AB01: -1617.406><-527.1208><-0.002069236><-0.001930709><2><><64><119
SL_AB02: -1527.406><-377.1208><-0.002069236><-0.001930709><2><><48><37
SL_AB03: -1666.406><91.8791><-0.002069236><-0.001930709><2><><162><35
GATE_SL_US: 254.5939><-391.1208><-0.002069236><-0.001930709><2><><48><35
SL_N01: 122.594><-314.1208><-0.002069236><-0.001930709><2><><68><47
SL_SK01: -1887.406><-397.1208><-0.002069236><-0.001930709><1><><100><35
