GATE_DS_SB: 740.6248><412.2609><730.8189><444.7263><2><><48><35
GATE_SB_SL: 4392.909><451.236><3308.859><408.4474><1><><48><35
GATE_LF_SB: -926.0913><1291.235><-419.1409><1177.449><1><><48><35
SB_F03: -1122.988><1006.535><-687.9294><800.4963><1><><48><232
SB_A10: -949.3618><1084.178><-421.8808><1027.471><1><><54><35
SB_A09: -1347.237><728.5518><-733.7419><796.3289><1><><48><35
SB_H03: -1115.652><483.8434><-733.8567><539.681><1><Subterranean><204><78
SB_S06: -1626.504><442.723><-855.5751><681.7596><2><><48><25
SB_H02: -496.6501><384.8437><-293.8568><463.6815><1><Subterranean><204><78
SB_A04: -888.6508><282.8437><-419.8566><448.6815><1><Subterranean><54><35
SB_A13: -1045.07><283.1622><-529.68><447.2502><1><Subterranean><48><35
SB_A01: -684.6508><249.8437><-344.8573><296.6815><2><Subterranean><52><35
SB_A11: -591.9463><174.4278><-355.9295><196.4963><1><Subterranean><48><35
SB_B01: -335.65><193.8437><-205.8566><162.6823><1><Subterranean><105><35
SB_S07: -395.3553><150.5365><-185.6756><30.26842><1><><48><35
SB_A12: -34.58815><142.5453><111.2107><150.3773><1><Subterranean><48><35
SB_C01: -384.6501><258.8441><-221.8566><299.6815><2><Subterranean><148><35
SB_B02: 9.349606><260.8441><94.14353><291.6815><2><Subterranean><113><35
SB_C05: 71.3495><-156.1567><242.1434><-4.318742><2><><48><121
SB_A03: -81.65071><321.8432><151.1434><403.6815><1><Subterranean><49><35
SB_E04: 283.3503><413.8433><184.1438><536.681><1><Subterranean><254><38
SB_C06: 321.3499><174.8441><386.1425><253.6815><2><><48><121
SB_S03: 320.6256><170.2617><491.8197><355.7263><2><><48><35
SB_F02: 355.3499><-129.1564><375.1427><-30.31874><2><Filtration System><104><121
SB_D04: 593.3492><173.8437><611.1422><136.6815><2><Filtration System><48><150
SB_S04: 580.3478><453.4342><608.353><479.7641><2><><48><35
SB_G03: 1301.357><429.8433><733.1422><540.681><1><Subterranean><355><35
SB_F01: 1032.357><151.8435><892.1442><189.6814><2><Filtration System><105><121
SB_J01: 2222.354><467.8433><1472.139><532.6807><1><Subterranean><252><78
SB_E02: 3003.354><530.8434><2120.14><605.681><1><Subterranean><252><35
SB_G02: 3930.353><530.8434><2688.14><605.681><1><Subterranean><362><35
SB_S05: 4531.672><533.5545><3440.294><605.9427><1><><48><35
SB_C07: 2404.354><417.8433><1772.139><394.681><0><Subterranean><154><45
SB_J02: 3014.354><337.8432><2117.14><310.6815><0><Subterranean><252><78
SB_J03: 2341.354><269.8437><1615.139><163.6815><1><><504><37
SB_S02: 2873.244><201.4091><2438.803><27.0037><1><><48><35
SB_I01: 253.3499><-487.1557><260.1426><-341.3185><2><Filtration System><152><120
SB_S01: 252.5067><-319.8035><149.7691><-152.2207><1><><48><35
SB_D06: 67.34959><-866.1564><238.1432><-698.3203><2><><48><154
SB_E05: -207.6503><-1094.156><-160.8568><-834.319><1><Depths><262><35
SB_A14: -683.5085><-1094.276><-328.575><-791.2404><1><Depths><54><35
SB_D02: -1082.651><-1095.156><-753.8567><-786.319><1><Depths><204><35
SB_A02: -948.6508><-989.1559><-508.8571><-572.3185><2><Depths><48><35
SB_J04: -1562.643><-1000.156><-1102.861><-623.319><2><Depths><255><78
SB_A08: -2176.644><-1048.156><-1327.861><-617.319><2><Depths><48><35
SB_B03: -2339.646><-997.1559><-1473.861><-625.319><1><Depths><48><78
SB_A07: -2222.644><-1168.157><-1407.861><-827.319><1><Depths><48><35
SB_E03: -1772.643><-1089.156><-1293.856><-785.319><1><Depths><255><40
SB_D05: -1545.643><-1172.157><-1036.861><-917.319><0><Depths><204><35
SB_A06: -1508.643><-1281.158><-851.8567><-1034.318><0><Depths><48><35
SB_A05: -1224.647><-1279.158><-686.8567><-1001.318><0><Depths><48><35
SB_D03: -2720.646><-1069.156><-1919.861><-631.319><1><Depths><204><35
SB_D07: -3025.646><-1351.16><-1965.861><-1070.317><1><Depths><48><150
SB_D01: -2741.271><-1640.525><-1856.392><-1189.874><1><Depths><104><78
SB_C08: -2289.586><-1687.564><-1623.595><-1187.459><1><Depths><152><35
SB_E01: -1633.27><-1682.525><-1307.392><-1189.874><1><Depths><252><35
SB_E06: -847.2772><-1693.525><-784.3888><-1194.874><1><Depths><268><35
SB_C09: -356.59><-1812.564><-233.5889><-1360.459><1><Depths><54><120
SB_L01: 52.723><-2051.525><-97.38866><-1526.874><1><Depths><210><126
GATE_SB_OE: -2259.223><471.2443><-1363.007><645.6974><1><><48><35
GATE_SB_VS: 1818.786><-153.9237><1571.535><-78.42773><2><><48><35
SB_E07: 796.29><-241.5605><625.9912><-173.3333><2><Filtration System><151><80
SB_B04: 935.3494><-304.9133><946.8435><-175.0953><2><Filtration System><48><74
SB_S10: 1027.914><-310.3112><1067.661><-293.5966><1><><48><35
SB_C10: 916.4327><-69.18804><799.6472><44.26664><2><Filtration System><151><35
SB_G04: 1375.093><-230.1303><1062.069><-164.8518><2><Filtration System><247><72
SB_GOR01: -1747.118><431.7031><-1143.83><547.301><1><Subterranean><192><35
SB_GOR02: -1941.511><547.2761><-1248.845><651.9247><1><Subterranean><146><44
SB_TESTB: -832.2097><556.9268><-412.3378><772.0005><2><Subterranean><105><35
SB_TESTC: 14.79101><546.9266><74.6628><766.0005><2><Subterranean><148><35
SB_C02: -439.8304><502.4271><-216.3521><665.2274><2><Subterranean><152><35
SB_TOPSIDE: -954.916><1407.433><-492.8987><1324.792><1><><96><35
SB_S09: -831.9901><1352.881><-282.5547><1322.854><1><><48><35
SB_J10: -187.5164><-37.57166><-878.0873><-124.7759><1><><504><35
SB_C11: -1180.856><111.8723><-997.2148><-116.4787><1><><48><114
SB_TM01: -286.6802><806.1215><0.0694033><-227.5981><0><><48><114
SB_TM06: -181.6802><560.1215><0.0694033><-159.5981><0><><48><80
SB_TM03: -115.6802><948.6215><0.0694033><-73.59814><0><><48><37
SB_TM02: -418.6802><732.6215><0.0694033><-73.59814><0><><48><37
SB_TM04: -544.6802><893.1215><0.0694033><-147.5981><0><><100><74
SB_TM05: -763.6802><974.1215><0.0694033><-147.5981><0><><48><74
GATE_SB_TM: -877.6802><1122.621><0.0694033><-69.59814><0><><48><35
GATE_HC_SB: 1128.32><519.1216><1.535808><8.731961><0><><48><35
SB_HC1: 984.3193><471.1216><1.535808><8.731961><0><><48><35
SB_HC2: 818.3199><576.1215><1.535808><8.731961><0><><152><35
SB_HC3: -149.6802><371.1216><1.535808><8.731961><2><><152><35
SB_HC4: 67.31979><479.1216><1.535808><8.731961><0><><48><35
