GATE_SU_DS: -458.9119><-358.3432><-535.7886><-493.7262><2><><48><35
GATE_SU_HI: 223.2618><398.3588><324.0804><663.9436><1><><48><35
GATE_LF_SU: -2067.912><163.6569><-1587.789><342.2738><1><><48><35
SU_B13: 137.0055><322.2509><202.3116><567.9238><1><Outskirts><48><78
SU_A33: 140.0061><182.2512><202.3116><436.9237><1><Outskirts><48><37
SU_B04: 377.0057><174.2513><364.312><376.9237><1><Outskirts><106><35
SU_A34: 142.0061><181.2512><202.3116><311.9241><1><Outskirts><48><35
SU_A37: 617.0068><167.2515><638.3115><373.9237><1><Outskirts><54><35
SU_S04: 607.0887><239.3957><637.7772><494.2524><1><><48><35
SU_A63: 775.0068><158.2515><813.3115><382.9237><1><Outskirts><50><36
SU_B12: 1104.005><179.2515><983.3115><382.9241><1><Outskirts><162><35
SU_A17: 1434.005><171.2515><1252.311><362.9237><1><Outskirts><54><37
SU_A40: 1595.005><101.2515><1411.311><213.9239><0><Outskirts><50><36
SU_B07: 1175.005><71.25166><1156.311><98.92384><0><Outskirts><104><33
SU_A02: 939.0071><81.25166><986.3115><98.92384><0><Outskirts><54><35
SU_A53: 776.0068><93.25163><816.3115><94.92393><0><Outskirts><50><38
SU_A39: 617.0068><97.25153><647.3115><192.9239><0><Outskirts><54><37
SU_A38: 612.0068><88.25163><651.3115><48.92407><0><Outskirts><54><35
SU_A25: 702.0068><-30.74867><815.3115><-61.07628><0><><54><35
SU_A24: 701.0068><-141.749><835.3115><-208.0764><0><><54><35
SU_A23: 529.006><-140.749><696.3115><-208.0764><0><><54><35
SU_A22: 426.0057><-248.749><627.3121><-365.0763><0><><48><35
SU_C04: -105.8914><-152.3641><104.17><-215.9133><1><><155><35
SU_A41: 208.109><-148.3641><435.17><-210.9133><1><><54><35
SU_A42: 217.109><-46.36375><446.17><-85.91348><1><><48><35
SU_A43: 369.1086><-141.3639><572.1702><-210.9133><1><><51><35
SU_A44: 362.1086><-148.3641><379.17><-366.9132><2><><48><35
SU_S01: 313.0288><-255.1063><507.3593><-366.219><0><><48><35
SU_A06: 443.006><88.25163><480.3119><108.9239><0><Outskirts><54><35
SU_A36: 274.0056><83.25165><322.312><125.9239><0><Outskirts><54><35
SU_B08: 30.00546><74.25163><48.31171><125.924><0><Outskirts><104><35
SU_B09: -214.9938><136.2515><-126.6884><121.924><0><Outskirts><52><78
SU_A35: -169.9945><125.2515><-3.688173><261.9237><1><Outskirts><54><35
SU_A20: -15.99455><182.2512><55.31184><406.9237><1><Outskirts><54><35
SU_A31: -367.9944><156.2515><-256.6881><216.9239><1><Outskirts><48><35
SU_A32: -665.9929><59.25162><-488.6885><230.9241><1><Outskirts><48><35
SU_B05: -995.9959><72.25153><-744.6885><229.9241><1><Outskirts><54><78
SU_A07: -1169.995><136.2515><-916.6882><297.9237><1><Outskirts><54><35
SU_A45: -1924.312><135.814><-1468.575><319.2109><1><><48><35
SU_C02: -1553.995><139.2515><-1345.689><317.9237><1><Outskirts><202><35
SU_B06: -871.994><319.2509><-657.6885><448.9239><1><Outskirts><50><78
SU_B11: -676.9932><506.2511><-581.6885><710.9237><1><Outskirts><104><35
SU_A12: -597.994><390.2509><-427.6884><554.9238><1><Outskirts><54><35
SU_A13: -431.9946><506.2511><-333.688><711.9237><1><Outskirts><54><35
SU_B02: -347.9946><324.2509><-267.6881><365.9237><1><Outskirts><59><78
SU_A29: -173.9943><165.2515><-109.6883><415.9237><1><Outskirts><54><35
SU_B10: -214.994><-97.74898><-384.6881><-58.07628><2><Outskirts><48><78
SU_A10: -420.9944><-174.749><-439.6884><-256.0764><2><Outskirts><54><35
SU_B01: -591.9937><-207.749><-593.6885><-339.0763><2><Outskirts><54><78
SU_S03: -430.5565><-253.9819><-438.5789><-382.1699><2><><48><35
SU_A04: -778.9932><-145.749><-766.6885><-252.0764><2><Outskirts><54><35
SU_C01: -957.9948><-258.749><-900.689><-409.0766><2><Outskirts><48><112
SU_B14: -706.6829><-372.7603><-766.0563><-502.1965><2><><105><35
SU_A30: -780.9932><-257.749><-762.6885><-375.0763><2><Outskirts><48><35
GATE_OE_SU: -1056.118><-855.8539><-430.2114><-810.8548><0><><48><35
SU_B14SAINT: -706.6829><-372.7603><-766.0563><-502.1965><2><><105><35
SU_CAVE01: -439.5749><-88.81927><-25.24884><-221.1604><0><><48><35
SU_CAVE02: -740.0604><-161.3829><-179.5524><-368.3707><0><><148><35
SU_PUMP03: -1072.441><-402.7002><-305.6635><-677.2594><0><><48><189
SU_S05: -1208.357><-170.1304><-422.0295><-505.5588><0><><48><35
SU_CAVE03: -862.7222><-451.4192><-190.7572><-551.4628><0><><48><35
SU_CAVE04: -824.8607><-602.496><-194.8033><-686.0627><0><><48><35
SU_CAVE05: -407.0881><-298.9961><135.0602><-471.305><0><><48><78
SU_PMPSTATION01: -670.4766><-575.0585><-74.30234><-757.9162><0><><48><121
SU_INTRO01: -797.5081><-865.7524><-299.4824><-813.194><0><><101><35
SU_PS1: -608.0836><-44.13016><-144.6595><-202.1306><0><><48><35
SU_VR1: -751.0836><-26.13011><-263.6595><-197.1306><0><><48><35
GATE_SU_UB: -578.092><-251.5862><3.262224E-05><-2.80622E-06><1><><48><35
SU_myroom: -585.092><6.41387><3.262224E-05><-2.80622E-06><1><><48><35
SU_room2: -522.092><-106.5862><3.262224E-05><-2.80622E-06><1><><58><45
SU_SC01: 709.9081><136.4138><3.262224E-05><-2.80622E-06><2><><48><35
SU_SC02: 772.9081><176.4138><3.262224E-05><-2.80622E-06><2><><48><35
SU_SC03: 852.9081><240.4138><3.262224E-05><-2.80622E-06><2><><48><35
GATE_SU_SC: 996.9081><252.4138><3.262224E-05><-2.80622E-06><2><><48><35
GATE_SU_HF: 613.9081><-256.5862><3.262224E-05><-2.80622E-06><2><><48><35
SU_LONGCAVE: -39.09208><-280.5862><3.262224E-05><-2.80622E-06><0><><152><35
GATE_PQ_SU: 2078.908><100.4138><3.262224E-05><-2.80622E-06><2><><48><35
SU_PQ04: 2018.908><49.41379><3.262224E-05><-2.80622E-06><2><><48><35
SU_PQ01: 1395.908><173.4138><3.262224E-05><-2.80622E-06><2><><48><35
SU_PQ03: 1576.908><97.4138><3.262224E-05><-2.80622E-06><2><><100><35
SU_PQGATE: 1869.908><100.4138><3.262224E-05><-2.80622E-06><2><><100><35
SU_PQ02: 1247.908><135.4138><3.262224E-05><-2.80622E-06><1><><48><35
SU_4B: -332.0919><127.4138><3.262224E-05><-2.80622E-06><2><><52><34
GATE_4B_SU: -482.0919><143.4138><3.262224E-05><-2.80622E-06><2><><48><35
